weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,MUNI-ARIMA,inc case,2,BE,0.84,0.81,0.5,0.9,0.06,10,1,Belgium
10,USC-SIkJalpha,inc case,2,BE,0.78,0.8,0.2,0.6,-0.23,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.56,1,0.04,9,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,1,BE,0.85,0.71,0.67,0.89,-0.06,9,1,Belgium
10,ILM-EKF,inc case,1,BE,1.22,0.92,0.44,0.89,-0.13,9,1,Belgium
10,Karlen-pypm,inc case,1,BE,1.73,1.39,0.56,0.78,0.09,9,1,Belgium
10,MUNI-ARIMA,inc case,1,BE,1.04,0.86,0.44,1,0.09,9,1,Belgium
10,SDSC_ISG-TrendModel,inc case,1,BE,3.5,3.7,0.38,0.5,-0.35,8,1,Belgium
10,USC-SIkJalpha,inc case,1,BE,1.13,1.06,0.33,0.56,-0.2,9,1,Belgium
10,EuroCOVIDhub-baseline,inc death,4,BE,1,1,1,1,0.06,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,4,BE,0.53,0.33,0.8,1,-0.21,10,1,Belgium
10,ILM-EKF,inc death,4,BE,0.43,0.3,0.9,1,-0.26,10,1,Belgium
10,Karlen-pypm,inc death,4,BE,0.46,0.27,0.6,0.9,0.05,10,1,Belgium
10,MUNI-ARIMA,inc death,4,BE,0.87,0.61,0.8,1,-0,10,1,Belgium
10,USC-SIkJalpha,inc death,4,BE,0.88,0.64,0.2,0.5,-0.28,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,3,BE,1,1,1,1,0.03,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,3,BE,0.55,0.35,0.8,1,-0.19,10,1,Belgium
10,ILM-EKF,inc death,3,BE,0.54,0.37,0.9,1,-0.19,10,1,Belgium
10,Karlen-pypm,inc death,3,BE,0.46,0.28,0.6,1,-0,10,1,Belgium
10,MUNI-ARIMA,inc death,3,BE,0.93,0.61,0.7,1,-0.05,10,1,Belgium
10,USC-SIkJalpha,inc death,3,BE,0.96,0.73,0.5,0.5,-0.31,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,2,BE,1,1,1,1,0.04,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,2,BE,0.64,0.38,0.8,1,-0.1,10,1,Belgium
10,ILM-EKF,inc death,2,BE,0.58,0.48,0.9,1,-0.09,10,1,Belgium
10,Karlen-pypm,inc death,2,BE,0.41,0.27,0.5,0.9,-0.09,10,1,Belgium
10,MUNI-ARIMA,inc death,2,BE,1.01,0.67,0.5,1,-0.01,10,1,Belgium
10,USC-SIkJalpha,inc death,2,BE,0.67,0.58,0.4,0.7,-0.25,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.89,1,-0.07,9,1,Belgium
